"verb","category","Arm","Leg","bias","bias_absol"
"åla","leg",5.25,4.41666666666667,0.833333333333333,-0.833333333333333
"badda","arm",6.41666666666667,1.91666666666667,4.5,4.5
"banka","arm",7,1.25,5.75,5.75
"binda","arm",6.33333333333333,2,4.33333333333333,4.33333333333333
"borsta","arm",6.58333333333333,1.08333333333333,5.5,5.5
"bulta","arm",6.08333333333333,1.33333333333333,4.75,4.75
"cykla","leg",3.08333333333333,6.41666666666667,-3.33333333333333,3.33333333333333
"dansa","leg",4.83333333333333,6.5,-1.66666666666667,1.66666666666667
"daska","arm",6.5,1.41666666666667,5.08333333333333,5.08333333333333
"dra","arm",6.5,2.5,4,4
"dunka","arm",6.66666666666667,1.75,4.91666666666667,4.91666666666667
"fånga","arm",6.66666666666667,1.75,4.91666666666667,4.91666666666667
"fatta","arm",4.58333333333333,1.66666666666667,2.91666666666667,2.91666666666667
"fila","arm",6.33333333333333,1.58333333333333,4.75,4.75
"flacka","leg",2.25,2.75,-0.5,0.5
"flanera","leg",2.58333333333333,5.5,-2.91666666666667,2.91666666666667
"fläta","arm",6.83333333333333,1,5.83333333333333,5.83333333333333
"fly","leg",2.25,6.75,-4.5,4.5
"fösa","arm",6.33333333333333,1.91666666666667,4.41666666666667,4.41666666666667
"gå","leg",1.5,7,-5.5,5.5
"gestikulera","arm",6.75,1.41666666666667,5.33333333333333,5.33333333333333
"glida","leg",1.91666666666667,5.41666666666667,-3.5,3.5
"gnida","arm",6.16666666666667,2.5,3.66666666666667,3.66666666666667
"gnugga","arm",6.33333333333333,1.66666666666667,4.66666666666667,4.66666666666667
"grabba","arm",6.83333333333333,1.16666666666667,5.66666666666667,5.66666666666667
"gräva","arm",6.83333333333333,1.75,5.08333333333333,5.08333333333333
"greppa","arm",6.91666666666667,1.66666666666667,5.25,5.25
"gripa","arm",6.66666666666667,1.58333333333333,5.08333333333333,5.08333333333333
"guppa","leg",2.41666666666667,2.91666666666667,-0.5,0.5
"hacka","arm",6.83333333333333,1.66666666666667,5.16666666666667,5.16666666666667
"haffa","arm",5.91666666666667,1.75,4.16666666666667,4.16666666666667
"halka","leg",2.08333333333333,6.83333333333333,-4.75,4.75
"halta","leg",1.08333333333333,6.91666666666667,-5.83333333333333,5.83333333333333
"håva","arm",6.25,1.91666666666667,4.33333333333333,4.33333333333333
"hissa","arm",6.16666666666667,1.5,4.66666666666667,4.66666666666667
"hiva","arm",6.75,1.41666666666667,5.33333333333333,5.33333333333333
"höja","arm",5,2.5,2.5,2.5
"hoppa","leg",2.33333333333333,6.83333333333333,-4.5,4.5
"ila","leg",1.25,5.66666666666667,-4.41666666666667,4.41666666666667
"irra","leg",2.33333333333333,4.75,-2.41666666666667,2.41666666666667
"jogga","leg",2.41666666666667,6.5,-4.08333333333333,4.08333333333333
"karva","arm",6.75,1,5.75,5.75
"kasta","arm",6.91666666666667,1.25,5.66666666666667,5.66666666666667
"kela","arm",5.75,2.33333333333333,3.41666666666667,3.41666666666667
"kila","leg",2.41666666666667,4.91666666666667,-2.5,2.5
"klå","arm",5.75,1.83333333333333,3.91666666666667,3.91666666666667
"klämma","arm",6.5,2.33333333333333,4.16666666666667,4.16666666666667
"klappa","arm",6.91666666666667,1.25,5.66666666666667,5.66666666666667
"klättra","leg",6.58333333333333,5.66666666666667,0.916666666666666,-0.916666666666666
"klia","arm",6.91666666666667,2.41666666666667,4.5,4.5
"klicka","arm",6.58333333333333,1,5.58333333333333,5.58333333333333
"klippa","arm",6.33333333333333,1.16666666666667,5.16666666666667,5.16666666666667
"kliva","leg",1.08333333333333,6.91666666666667,-5.83333333333333,5.83333333333333
"klösa","arm",6.83333333333333,1.16666666666667,5.66666666666667,5.66666666666667
"knäa","leg",1.33333333333333,6.91666666666667,-5.58333333333333,5.58333333333333
"knacka","arm",6.83333333333333,1.08333333333333,5.75,5.75
"knalla","leg",1.5,6.5,-5,5
"knata","leg",1.16666666666667,6.75,-5.58333333333333,5.58333333333333
"knipa","arm",4.66666666666667,3.58333333333333,1.08333333333333,1.08333333333333
"knivhugga","arm",6.83333333333333,1.16666666666667,5.66666666666667,5.66666666666667
"knoga","leg",4.41666666666667,2.33333333333333,2.08333333333333,-2.08333333333333
"knycka","arm",6.25,1.33333333333333,4.91666666666667,4.91666666666667
"koppla","arm",4.75,1.33333333333333,3.41666666666667,3.41666666666667
"krama","arm",6.91666666666667,1.75,5.16666666666667,5.16666666666667
"kratsa","arm",4.5,2.5,2,2
"kravla","leg",5.66666666666667,4.16666666666667,1.5,-1.5
"krypa","leg",4.91666666666667,5.75,-0.833333333333333,0.833333333333333
"linda","arm",6.58333333333333,1.66666666666667,4.91666666666667,4.91666666666667
"linka","leg",1.83333333333333,5.25,-3.41666666666667,3.41666666666667
"löpa","leg",1.41666666666667,7,-5.58333333333333,5.58333333333333
"lunka","leg",1.66666666666667,6.91666666666667,-5.25,5.25
"lyfta","arm",6.83333333333333,4.08333333333333,2.75,2.75
"marschera","leg",2.91666666666667,7,-4.08333333333333,4.08333333333333
"nappa","arm",5.08333333333333,1.41666666666667,3.66666666666667,3.66666666666667
"norpa","arm",6.41666666666667,1.41666666666667,5,5
"nypa","arm",6.66666666666667,1.33333333333333,5.33333333333333,5.33333333333333
"ösa","arm",6.58333333333333,1.08333333333333,5.5,5.5
"paddla","arm",6.91666666666667,2.58333333333333,4.33333333333333,4.33333333333333
"peta","arm",6.75,1.58333333333333,5.16666666666667,5.16666666666667
"pilla","arm",6.58333333333333,1.41666666666667,5.16666666666667,5.16666666666667
"pinna","leg",1.83333333333333,5.58333333333333,-3.75,3.75
"piska","arm",6.58333333333333,1.16666666666667,5.41666666666667,5.41666666666667
"plocka","arm",6.91666666666667,1.08333333333333,5.83333333333333,5.83333333333333
"polera","arm",6.75,1.33333333333333,5.41666666666667,5.41666666666667
"pressa","arm",6,3.33333333333333,2.66666666666667,2.66666666666667
"promenera","leg",1.66666666666667,7,-5.33333333333333,5.33333333333333
"putsa","arm",6.75,1.16666666666667,5.58333333333333,5.58333333333333
"putta","arm",6.66666666666667,1.83333333333333,4.83333333333333,4.83333333333333
"rafsa","arm",6.75,1.25,5.5,5.5
"ragla","leg",1.75,6.16666666666667,-4.41666666666667,4.41666666666667
"raka","arm",4.75,3.16666666666667,1.58333333333333,1.58333333333333
"ränna","leg",1.33333333333333,6.5,-5.16666666666667,5.16666666666667
"raspa","arm",6,1.58333333333333,4.41666666666667,4.41666666666667
"repa","arm",5.91666666666667,1.08333333333333,4.83333333333333,4.83333333333333
"rista","arm",6.5,1,5.5,5.5
"riva","arm",6.58333333333333,2.16666666666667,4.41666666666667,4.41666666666667
"ro","arm",6.66666666666667,2.33333333333333,4.33333333333333,4.33333333333333
"röra","arm",6.58333333333333,3,3.58333333333333,3.58333333333333
"rota","arm",6.58333333333333,1.33333333333333,5.25,5.25
"rulla","leg",4.08333333333333,2.66666666666667,1.41666666666667,-1.41666666666667
"rulta","leg",2.25,4.58333333333333,-2.33333333333333,2.33333333333333
"rusa","leg",2.25,6.5,-4.25,4.25
"rycka","arm",6.66666666666667,1.33333333333333,5.33333333333333,5.33333333333333
"signera","arm",6.75,1,5.75,5.75
"skaka","arm",6.41666666666667,3.25,3.16666666666667,3.16666666666667
"skala","arm",6.75,1.08333333333333,5.66666666666667,5.66666666666667
"skära","arm",6.91666666666667,1.08333333333333,5.83333333333333,5.83333333333333
"skejta","leg",1.91666666666667,6.83333333333333,-4.91666666666667,4.91666666666667
"skjuta","arm",6.66666666666667,2.5,4.16666666666667,4.16666666666667
"skopa","arm",6.33333333333333,2.33333333333333,4,4
"skrapa","arm",6.33333333333333,2.5,3.83333333333333,3.83333333333333
"skrida","leg",1.25,6.58333333333333,-5.33333333333333,5.33333333333333
"skrubba","arm",6.58333333333333,1.25,5.33333333333333,5.33333333333333
"skumma","arm",4,1.41666666666667,2.58333333333333,2.58333333333333
"skura","arm",6.58333333333333,1.58333333333333,5,5
"skutta","leg",1.5,6.91666666666667,-5.41666666666667,5.41666666666667
"skyffla","arm",6.66666666666667,1.33333333333333,5.33333333333333,5.33333333333333
"skynda","leg",1.75,5.83333333333333,-4.08333333333333,4.08333333333333
"slå","arm",6.91666666666667,1.33333333333333,5.58333333333333,5.58333333333333
"släntra","leg",1.91666666666667,5.25,-3.33333333333333,3.33333333333333
"sleva","arm",6.16666666666667,1.58333333333333,4.58333333333333,4.58333333333333
"slinta","leg",5.5,3.58333333333333,1.91666666666667,-1.91666666666667
"slipa","arm",6.66666666666667,1.66666666666667,5,5
"slita","arm",6.16666666666667,2.08333333333333,4.08333333333333,4.08333333333333
"slunga","arm",6.58333333333333,1.25,5.33333333333333,5.33333333333333
"smälla","arm",5.75,1.33333333333333,4.41666666666667,4.41666666666667
"smeka","arm",6.75,2,4.75,4.75
"smyga","leg",1.25,6.83333333333333,-5.58333333333333,5.58333333333333
"snärta","arm",6,1,5,5
"snava","leg",2.08333333333333,6.83333333333333,-4.75,4.75
"sno","arm",6.08333333333333,1.33333333333333,4.75,4.75
"snubbla","leg",1.75,6.91666666666667,-5.16666666666667,5.16666666666667
"sparka","leg",1.08333333333333,6.91666666666667,-5.83333333333333,5.83333333333333
"springa","leg",2.33333333333333,6.58333333333333,-4.25,4.25
"sprinta","leg",1.83333333333333,6.58333333333333,-4.75,4.75
"stå","leg",1.75,6.5,-4.75,4.75
"städa","arm",6.66666666666667,2.16666666666667,4.5,4.5
"stampa","leg",1.58333333333333,6.91666666666667,-5.33333333333333,5.33333333333333
"stappla","leg",1.91666666666667,6.25,-4.33333333333333,4.33333333333333
"stega","leg",1.16666666666667,6.33333333333333,-5.16666666666667,5.16666666666667
"stiga","leg",1.91666666666667,6.08333333333333,-4.16666666666667,4.16666666666667
"stöta","arm",5.83333333333333,2.41666666666667,3.41666666666667,3.41666666666667
"stövla","leg",1.41666666666667,6.66666666666667,-5.25,5.25
"ströva","leg",1.75,6.25,-4.5,4.5
"strutta","leg",1.75,5.5,-3.75,3.75
"studsa","leg",3.41666666666667,4.66666666666667,-1.25,1.25
"svabba","arm",6.33333333333333,1.5,4.83333333333333,4.83333333333333
"svaja","leg",2.66666666666667,5.5,-2.83333333333333,2.83333333333333
"svassa","leg",2.5,5.41666666666667,-2.91666666666667,2.91666666666667
"svepa","arm",5.66666666666667,2.41666666666667,3.25,3.25
"ta","arm",6.75,1.66666666666667,5.08333333333333,5.08333333333333
"tåga","leg",1.41666666666667,6.41666666666667,-5,5
"tassa","leg",1.75,6.66666666666667,-4.91666666666667,4.91666666666667
"torka","arm",6.75,1.5,5.25,5.25
"träda","leg",2.41666666666667,5,-2.58333333333333,2.58333333333333
"trampa","leg",1.08333333333333,6.91666666666667,-5.83333333333333,5.83333333333333
"traska","leg",1.5,6.91666666666667,-5.41666666666667,5.41666666666667
"trippa","leg",1.16666666666667,6.66666666666667,-5.5,5.5
"trumma","arm",6.75,1.58333333333333,5.16666666666667,5.16666666666667
"trycka","arm",6.58333333333333,2.83333333333333,3.75,3.75
"tvätta","arm",6.66666666666667,1.41666666666667,5.25,5.25
"tvinna","arm",6.25,1.16666666666667,5.08333333333333,5.08333333333333
"vackla","leg",2,6.5,-4.5,4.5
"vada","leg",2.33333333333333,6.75,-4.41666666666667,4.41666666666667
"vandra","leg",1.83333333333333,7,-5.16666666666667,5.16666666666667
"vanka","leg",1.41666666666667,6.66666666666667,-5.25,5.25
"vika","arm",6.41666666666667,1.16666666666667,5.25,5.25
"vingla","leg",2.08333333333333,6.66666666666667,-4.58333333333333,4.58333333333333
"vira","arm",6.33333333333333,1.58333333333333,4.75,4.75
